Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
LSTM,54.99,40.947,1.343,-20.816,2.6417,49.05,0.8361,49.05,0.319
TCN,54.219,40.925,1.3248,-15.697,3.454,49.52,0.945,49.52,0.2238
GRU,45.535,40.98,1.1111,-26.347,1.7283,50.0,1.0,50.0,0.281
ARIMA,36.642,41.006,0.8936,-29.131,1.2578,53.33,0.3697,53.33,0.5381
Random Forest,33.715,41.077,0.8208,-34.877,0.9667,50.24,1.0,50.24,0.6172
Transformer,18.107,41.064,0.4409,-35.378,0.5118,48.57,0.7302,48.57,0.3952
CNN LSTM,7.798,41.076,0.1898,-29.131,0.2677,50.95,0.8361,50.95,0.3286
XGBoost,3.802,41.136,0.0924,-38.112,0.0998,47.85,0.5801,47.85,0.7416
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
BiLSTM,-7.269,41.096,-0.1769,-39.236,-0.1853,50.0,1.0,50.0,0.3571
Gradient Boosting,-16.893,41.135,-0.4107,-44.071,-0.3833,46.89,0.4066,46.89,0.8852
SVR,-21.19,41.102,-0.5155,-35.491,-0.5971,47.85,0.5801,47.85,0.0239
Decision Tree,-58.07,40.968,-1.4175,-63.192,-0.9189,48.8,0.7821,48.8,0.11
