Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
Decision Tree,78.554,28.16,2.7895,-17.833,4.4049,59.81,0.0055,59.81,0.1388
Random Forest,57.967,28.357,2.0442,-15.866,3.6535,57.42,0.0377,56.94,0.311
BiLSTM,52.701,28.33,1.8603,-17.833,2.9552,50.0,1.0,50.0,0.3571
CNN LSTM,51.721,28.34,1.825,-22.402,2.3088,56.19,0.0843,56.19,0.1381
Gradient Boosting,38.714,28.476,1.3595,-19.716,1.9636,58.85,0.0126,58.37,0.7129
ARIMA,38.402,28.432,1.3506,-19.82,1.9375,57.14,0.0451,57.14,0.0714
GRU,38.058,28.435,1.3384,-22.078,1.7238,56.19,0.0843,56.19,0.2524
LSTM,26.716,28.487,0.9378,-17.833,1.4981,51.9,0.6292,51.9,0.2524
XGBoost,26.15,28.533,0.9165,-13.612,1.921,51.67,0.6782,51.2,0.7799
TCN,22.497,28.5,0.7894,-19.515,1.1528,56.67,0.0622,56.67,0.0619
Transformer,0.31,28.54,0.0109,-25.62,0.0121,54.76,0.1897,54.76,0.2524
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
SVR,-31.179,28.551,-1.0921,-41.182,-0.7571,51.2,0.7821,49.76,0.9234
