Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
Transformer,58.969,58.671,1.0051,-36.6,1.6112,52.86,0.4479,52.86,0.2714
TCN,56.578,58.685,0.9641,-31.532,1.7943,55.71,0.1123,55.71,0.3
CNN LSTM,49.723,58.707,0.847,-60.832,0.8174,51.9,0.6292,51.9,0.3857
BiLSTM,30.481,58.744,0.5189,-41.977,0.7261,51.9,0.6292,51.9,0.6333
SVR,28.75,58.582,0.4908,-34.878,0.8243,53.11,0.4066,53.11,0.6842
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
LSTM,-3.348,58.792,-0.0569,-29.328,-0.1142,50.95,0.8361,50.95,0.281
ARIMA,-52.957,58.689,-0.9023,-69.064,-0.7668,49.52,0.945,49.52,0.3857
GRU,-60.143,58.664,-1.0252,-65.659,-0.916,47.14,0.4479,47.14,0.4905
Gradient Boosting,-73.346,58.459,-1.2547,-73.555,-0.9972,45.45,0.213,45.45,0.7416
Random Forest,-104.894,58.271,-1.8001,-96.425,-1.0878,43.54,0.0719,43.06,0.6364
Decision Tree,-107.564,58.237,-1.847,-92.503,-1.1628,44.5,0.1279,44.02,0.3301
XGBoost,-145.825,57.921,-2.5177,-122.986,-1.1857,44.98,0.1664,44.5,0.7512
