Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
BiLSTM,174.686,69.198,2.5244,-24.076,7.2557,52.38,0.5347,52.38,0.719
SVR,106.949,69.908,1.5298,-43.996,2.4309,58.85,0.0126,58.85,0.9617
LSTM,87.576,69.869,1.2534,-55.351,1.5822,51.9,0.6292,51.9,0.4619
XGBoost,78.43,70.078,1.1192,-58.544,1.3397,51.2,0.7821,51.2,0.8947
ARIMA,76.499,69.927,1.094,-53.097,1.4407,56.19,0.0843,56.19,0.1286
Decision Tree,73.592,70.091,1.0499,-49.237,1.4946,58.37,0.0185,58.37,0.0813
TCN,53.355,70.03,0.7619,-42.845,1.2453,54.76,0.1897,54.76,0.2143
CNN LSTM,53.249,70.011,0.7606,-53.675,0.9921,57.14,0.0451,57.14,0.0619
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
Random Forest,-6.229,70.261,-0.0887,-97.153,-0.0641,52.15,0.5801,52.15,0.445
Gradient Boosting,-22.813,70.242,-0.3248,-83.509,-0.2732,49.76,1.0,49.76,0.7416
Transformer,-35.223,70.062,-0.5027,-60.269,-0.5844,46.19,0.3006,46.19,0.2905
GRU,-38.916,70.061,-0.5555,-60.419,-0.6441,45.71,0.2407,45.71,0.481
