Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
GRU,17.911,11.431,1.567,-5.487,3.2644,56.06,0.3891,17.62,0.1286
Random Forest,21.665,19.27,1.1243,-7.56,2.8659,45.45,0.5386,14.35,0.2057
LSTM,7.529,11.49,0.6553,-7.338,1.026,51.52,0.9022,16.19,0.1286
CNN LSTM,6.789,11.482,0.5913,-7.55,0.8992,51.52,0.9022,16.19,0.1381
TCN,3.525,11.494,0.3067,-10.451,0.3373,51.52,0.9022,16.19,0.1
BiLSTM,2.32,11.498,0.2018,-12.189,0.1903,51.52,0.9022,16.19,0.1
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
Decision Tree,-1.682,19.318,-0.0871,-14.994,-0.1122,51.52,0.9022,16.27,0.0622
ARIMA,-2.053,11.49,-0.1786,-7.963,-0.2578,45.45,0.5386,14.29,0.3
XGBoost,-5.958,19.313,-0.3085,-19.108,-0.3118,42.42,0.2678,13.4,0.2536
Transformer,-3.634,11.493,-0.3162,-8.862,-0.4101,50.0,1.0,15.71,0.1667
SVR,-30.241,19.225,-1.573,-28.44,-1.0633,50.0,1.0,15.79,0.0718
Gradient Boosting,-36.855,19.198,-1.9197,-31.878,-1.1561,36.36,0.0356,11.48,0.3397
