Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
ARIMA,30.845,8.091,3.8123,-4.338,7.1105,62.34,0.0395,22.86,0.0667
GRU,21.749,8.212,2.6486,-3.856,5.64,61.04,0.0675,22.38,0.1524
XGBoost,27.181,10.557,2.5747,-3.557,7.6427,57.14,0.2543,20.57,0.2871
CNN LSTM,20.295,8.22,2.4688,-5.559,3.651,61.04,0.0675,22.38,0.0381
Decision Tree,23.577,10.617,2.2206,-4.619,5.1045,62.34,0.0395,22.97,0.0383
Random Forest,21.613,10.635,2.0322,-4.864,4.4435,61.04,0.0675,22.49,0.0574
Gradient Boosting,20.75,10.643,1.9495,-4.619,4.4924,57.14,0.2543,21.05,0.201
LSTM,11.03,8.286,1.3311,-6.598,1.6717,54.55,0.4944,20.0,0.1619
TCN,2.612,8.321,0.3139,-11.738,0.2225,50.65,1.0,17.62,0.1333
SVR,2.152,10.72,0.2007,-10.644,0.2021,50.65,1.0,18.18,0.3636
BiLSTM,1.206,8.326,0.1448,-10.59,0.1138,50.65,1.0,18.57,0.1619
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
Transformer,-19.084,8.235,-2.3173,-21.751,-0.8774,40.26,0.11,14.76,0.0476
