Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
BiLSTM,11.276,5.735,1.9663,-1.854,6.083,87.5,0.0703,3.33,0.0286
TCN,11.276,5.735,1.9663,-1.854,6.083,87.5,0.0703,3.33,0.0286
CNN LSTM,11.276,5.735,1.9663,-1.854,6.083,87.5,0.0703,3.33,0.0286
Transformer,9.612,5.737,1.6753,-2.547,3.7739,75.0,0.2891,2.86,0.0381
GRU,5.536,5.766,0.9601,-2.401,2.3054,62.5,0.7266,2.38,0.0381
SVR,9.065,10.759,0.8426,-5.913,1.5331,50.0,1.0,1.91,0.0478
LSTM,4.054,5.785,0.7007,-3.029,1.3384,75.0,0.2891,2.86,0.0381
ARIMA,2.39,5.78,0.4135,-3.029,0.789,62.5,0.7266,2.38,0.0476
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
Gradient Boosting,-9.106,10.779,-0.8448,-8.328,-1.0934,37.5,0.7266,1.44,0.0383
XGBoost,-9.106,10.779,-0.8448,-8.328,-1.0934,37.5,0.7266,1.44,0.0383
Random Forest,-11.347,10.769,-1.0536,-9.411,-1.2057,25.0,0.2891,0.96,0.0383
Decision Tree,-15.852,10.749,-1.4748,-13.147,-1.2057,12.5,0.0703,0.48,0.0287
