Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
CNN LSTM,35.854,14.159,2.5322,-7.3,4.9116,61.43,0.0722,20.48,0.0095
Decision Tree,30.321,14.801,2.0485,-7.3,4.1536,60.0,0.1196,20.1,0.0096
Random Forest,28.983,14.812,1.9567,-7.3,3.9704,58.57,0.1882,19.62,0.0287
ARIMA,25.811,14.245,1.8119,-7.961,3.2424,57.14,0.282,19.05,0.0571
TCN,21.498,14.283,1.5052,-6.556,3.2789,55.71,0.403,18.57,0.0857
XGBoost,11.533,14.908,0.7736,-10.648,1.0831,50.0,1.0,16.75,0.2679
Gradient Boosting,1.677,14.92,0.1124,-10.883,0.1541,50.0,1.0,16.75,0.2584
GRU,0.068,14.351,0.0047,-14.131,0.0048,45.71,0.5504,15.24,0.1048
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
BiLSTM,-6.409,14.323,-0.4474,-21.16,-0.3029,45.71,0.5504,15.24,0.2
LSTM,-9.508,14.333,-0.6633,-19.047,-0.4992,42.86,0.282,14.29,0.1429
SVR,-10.716,14.922,-0.7181,-19.877,-0.5391,52.86,0.7202,17.7,0.2967
Transformer,-18.288,14.316,-1.2775,-22.76,-0.8035,47.14,0.7202,15.71,0.2
