Asset,Model,RMSE,MAE,MAPE,Hit_Rate,Sharpe
Gold,Random Walk,0.009269,0.007478,100.0,0.0,
Gold,ARIMA,0.009236,0.007439,103.20186,59.04764,2.6919
Gold,Decision Tree,0.009373,0.007488,102.21364,58.57146,2.00704
Gold,Random Forest,0.009376,0.007487,105.00992,59.47622,1.909
Gold,Gradient Boosting,0.009383,0.007444,107.51462,56.61904,2.20952
Gold,XGBoost,0.009489,0.007539,112.91448,53.76192,0.01172
Gold,SVR,0.009566,0.007851,178.0332,50.04762,2.19382
Gold,LSTM,0.00926,0.007343,121.15508,60.00002,2.1496
Gold,GRU,0.009352,0.007427,124.487,61.9048,3.53852
Gold,BiLSTM,0.009124,0.007381,128.82046,54.28572,1.8634
Gold,Transformer,0.009195,0.007362,117.05124,58.09526,2.28742
Silver,Random Walk,0.019386,0.014827,100.0,0.0,
Silver,ARIMA,0.019405,0.014844,101.16212,52.38098,0.71084
Silver,Decision Tree,0.019443,0.015012,110.83186,53.85716,0.17192
Silver,Random Forest,0.019406,0.014876,99.73642,58.61908,0.60878
Silver,Gradient Boosting,0.019477,0.015088,135.70594,47.04764,-1.72826
Silver,XGBoost,0.01952,0.015071,116.10096,44.2857,-3.04532
Silver,SVR,0.019446,0.014926,177.1424,58.38096,2.87192
Silver,LSTM,0.019471,0.014863,103.5901,49.52382,-0.5999
Silver,GRU,0.019449,0.014912,102.64904,48.57144,-0.78506
Silver,BiLSTM,0.019333,0.01505,121.82676,46.66668,-0.44884
Silver,Transformer,0.019395,0.014809,103.49262,51.4286,0.04288
Copper,Random Walk,0.013351,0.010108,100.0,0.0,
Copper,ARIMA,0.013332,0.010075,98.29336,50.85716,0.18682
Copper,Decision Tree,0.013406,0.010127,98.76454,55.48874,0.46782
Copper,Random Forest,0.013474,0.010158,99.00838,46.71678,-0.99802
Copper,Gradient Boosting,0.013424,0.010149,106.79284,47.5689,0.57882
Copper,XGBoost,0.013525,0.010237,109.90388,46.5163,-0.486
Copper,SVR,0.013474,0.010292,137.17354,49.77442,0.28682
Copper,LSTM,0.01345,0.010101,100.10588,50.19048,-1.74592
Copper,GRU,0.013389,0.010078,110.48272,54.80952,-0.06664
Copper,BiLSTM,0.013303,0.010063,138.23996,50.80952,0.53278
Copper,Transformer,0.013367,0.010115,103.51154,47.95238,-0.778
Platinum,Random Walk,0.016574,0.013536,100.0,0.0,
Platinum,ARIMA,0.016551,0.013545,100.30604,48.57144,0.43494
Platinum,Decision Tree,0.016629,0.013596,99.1286,49.85716,-0.56116
Platinum,Random Forest,0.016618,0.013613,99.04258,53.95238,1.6196
Platinum,Gradient Boosting,0.016706,0.013652,98.27474,46.2857,-1.74756
Platinum,XGBoost,0.016692,0.013655,100.88916,48.2857,-1.71614
Platinum,SVR,0.017061,0.013819,124.20044,52.80956,0.50912
Platinum,LSTM,0.016539,0.013567,103.91778,50.4762,1.76434
Platinum,GRU,0.016574,0.013471,99.31092,49.52382,-0.878
Platinum,BiLSTM,0.01643,0.013545,102.17966,48.57142,1.54052
Platinum,Transformer,0.016561,0.01352,100.31266,50.47618,0.20792
