Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
BiLSTM,44.041,40.991,1.0744,-30.002,1.4679,51.43,0.7302,51.43,0.4238
ARIMA,36.642,41.006,0.8936,-29.131,1.2578,53.33,0.3697,53.33,0.5381
Random Forest,26.788,41.101,0.6518,-40.521,0.6611,52.63,0.4892,52.63,0.5407
XGBoost,22.324,41.105,0.5431,-36.161,0.6174,50.24,1.0,50.24,0.866
TCN,21.503,41.061,0.5237,-31.783,0.6766,50.95,0.8361,50.95,0.2524
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
Gradient Boosting,-9.427,41.147,-0.2291,-36.264,-0.2599,47.85,0.5801,47.85,0.8469
SVR,-21.19,41.102,-0.5155,-35.491,-0.5971,47.85,0.5801,47.85,0.0239
GRU,-33.369,41.037,-0.8131,-38.685,-0.8626,50.0,1.0,50.0,0.3857
LSTM,-39.146,41.033,-0.954,-52.342,-0.7479,48.57,0.7302,48.57,0.3286
Transformer,-49.364,40.98,-1.2046,-58.148,-0.8489,49.52,0.945,49.52,0.3381
Decision Tree,-58.07,40.968,-1.4175,-63.192,-0.9189,48.8,0.7821,48.8,0.11
CNN LSTM,-61.762,40.906,-1.5099,-61.475,-1.0047,46.67,0.3697,46.67,0.3095
