Model,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Directional Acc.,DA p-value,Win Rate (%),Turnover
Transformer,37.629,58.739,0.6406,-42.12,0.8934,53.81,0.3006,53.81,0.3571
SVR,28.75,58.582,0.4908,-34.878,0.8243,53.11,0.4066,53.11,0.6842
TCN,21.063,58.772,0.3584,-67.206,0.3134,53.81,0.3006,53.81,0.081
LSTM,4.561,58.787,0.0776,-61.185,0.0745,52.38,0.5347,52.38,0.2333
Random Walk,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0
CNN LSTM,-28.722,58.763,-0.4888,-58.846,-0.4881,51.9,0.6292,51.9,0.1286
GRU,-45.888,58.733,-0.7813,-51.004,-0.8997,50.0,1.0,50.0,0.2905
ARIMA,-52.957,58.689,-0.9023,-69.064,-0.7668,49.52,0.945,49.52,0.3857
Gradient Boosting,-69.124,58.475,-1.1821,-72.038,-0.9596,45.93,0.2684,45.93,0.7416
BiLSTM,-91.662,58.505,-1.5667,-102.632,-0.8931,48.1,0.6292,48.1,0.3667
Random Forest,-93.57,58.341,-1.6039,-87.034,-1.0751,44.02,0.0967,43.54,0.6172
Decision Tree,-107.564,58.237,-1.847,-92.503,-1.1628,44.5,0.1279,44.02,0.3301
XGBoost,-142.669,57.94,-2.4623,-120.369,-1.1853,45.93,0.2684,45.45,0.7321
