Asset,Model,RMSE,MAE,MAPE,Hit_Rate,Sharpe
Gold,Random Walk,0.016175,0.012057,100.0,0.0,
Gold,ARIMA,0.016142,0.012018,109.59827,57.14287,2.30145
Gold,Decision Tree,0.016876,0.01268,278.54092,59.73811,3.3146
Gold,Random Forest,0.016422,0.012086,169.13147,57.35715,2.3284
Gold,Gradient Boosting,0.017062,0.012317,288.59321,58.83335,1.9748
Gold,XGBoost,0.017282,0.01294,226.51428,51.69047,1.48003
Gold,SVR,0.01812,0.013408,210.56712,51.19048,-0.16428
Gold,LSTM,0.01621,0.012051,182.66994,51.90477,0.78867
Gold,GRU,0.016197,0.011981,199.89686,56.19048,1.90191
Gold,BiLSTM,0.016347,0.01244,222.74507,50.0,1.86183
Gold,Transformer,0.016426,0.012292,184.3635,54.76191,0.85522
Gold,TCN,0.016146,0.012012,153.87125,56.66667,1.59525
Gold,CNN LSTM,0.015942,0.011928,158.86864,56.19049,2.33836
Silver,Random Walk,0.036473,0.027507,100.0,0.0,
Silver,ARIMA,0.036456,0.027471,99.44046,56.19049,1.8208
Silver,Decision Tree,0.037704,0.028346,104.28341,58.30954,2.31838
Silver,Random Forest,0.037674,0.029001,126.36645,52.14285,1.80072
Silver,Gradient Boosting,0.038238,0.029105,123.00573,49.78571,0.48854
Silver,XGBoost,0.036945,0.028301,128.28695,51.26191,2.20232
Silver,SVR,0.036639,0.027279,150.42703,58.83335,1.74092
Silver,LSTM,0.03608,0.027225,118.37507,51.90477,1.44187
Silver,GRU,0.037149,0.028527,140.81549,45.71426,-0.82744
Silver,BiLSTM,0.036106,0.027369,125.50552,52.38096,1.53082
Silver,Transformer,0.037615,0.028694,134.21605,46.19046,-1.29624
Silver,TCN,0.036737,0.02748,106.88379,54.76191,1.72545
Silver,CNN LSTM,0.036415,0.027389,104.71683,57.14287,2.09063
Copper,Random Walk,0.022835,0.014663,100.0,0.0,
Copper,ARIMA,0.022784,0.014622,100.89265,53.59526,1.9148
Copper,Decision Tree,0.025891,0.018796,224.13991,49.11903,-1.60572
Copper,Random Forest,0.024302,0.016539,161.28328,52.97619,0.05042
Copper,Gradient Boosting,0.024186,0.016144,157.49522,48.07143,-0.78108
Copper,XGBoost,0.023349,0.016084,140.79579,50.45238,0.04023
Copper,SVR,0.044894,0.037656,819.38655,48.04761,-1.56311
Copper,LSTM,0.023058,0.015108,146.26177,48.76189,-0.70436
Copper,GRU,0.023431,0.01533,145.08648,50.23811,-0.80587
Copper,BiLSTM,0.023296,0.015142,150.85281,51.66666,0.79275
Copper,Transformer,0.023224,0.015029,111.85451,49.88095,-1.18374
Copper,TCN,0.02279,0.01471,104.5027,51.19048,1.26731
Copper,CNN LSTM,0.022995,0.014734,103.32918,46.92856,-1.3508
Platinum,Random Walk,0.033903,0.025542,100.0,0.0,
Platinum,ARIMA,0.033965,0.025511,99.75349,49.66667,-1.01923
Platinum,Decision Tree,0.034939,0.027017,172.75968,44.64285,-2.50896
Platinum,Random Forest,0.036871,0.028601,134.04826,44.21427,-1.96548
Platinum,Gradient Boosting,0.03979,0.031661,201.61411,46.19047,-1.79446
Platinum,XGBoost,0.035257,0.026941,190.35626,46.11904,-2.86116
Platinum,SVR,0.033695,0.025721,157.04396,53.38096,1.24248
Platinum,LSTM,0.034032,0.025338,129.2949,52.71428,0.0107
Platinum,GRU,0.034349,0.02587,138.64218,50.19049,-0.56574
Platinum,BiLSTM,0.034985,0.025849,198.41332,48.30952,-1.37504
Platinum,Transformer,0.03399,0.025209,121.46897,54.00003,0.57137
Platinum,TCN,0.033887,0.02539,113.99512,54.14285,0.89871
Platinum,CNN LSTM,0.034004,0.025499,107.36705,52.11905,-0.60509
