Asset,Model,RMSE,MAE,MAPE,Hit_Rate,Sharpe
Gold,Random Walk,0.009269,0.007478,100.0,0.0,
Gold,ARIMA,0.009236,0.007439,103.20186,59.04764,2.6919
Gold,Decision Tree,0.009373,0.007488,102.21364,58.57146,2.00704
Gold,Random Forest,0.009376,0.007487,105.00992,59.47622,1.909
Gold,Gradient Boosting,0.009383,0.007444,107.51462,56.61904,2.20952
Gold,XGBoost,0.009489,0.007539,112.91448,53.76192,0.01172
Gold,SVR,0.009566,0.007851,178.0332,50.04762,2.19382
Gold,LSTM,0.009298,0.007467,107.85746,49.5238,-0.89646
Gold,GRU,0.009486,0.007653,120.37534,45.71428,-2.33864
Gold,BiLSTM,0.009416,0.007381,117.94682,50.47618,-1.07436
Gold,Transformer,0.009415,0.007692,135.9303,43.8095,-1.79018
Silver,Random Walk,0.019386,0.014827,100.0,0.0,
Silver,ARIMA,0.019405,0.014844,101.16212,52.38098,0.71084
Silver,Decision Tree,0.019443,0.015012,110.83186,53.85716,0.17192
Silver,Random Forest,0.019406,0.014876,99.73642,58.61908,0.60878
Silver,Gradient Boosting,0.019477,0.015088,135.70594,47.04764,-1.72826
Silver,XGBoost,0.01952,0.015071,116.10096,44.2857,-3.04532
Silver,SVR,0.019446,0.014926,177.1424,58.38096,2.87192
Silver,LSTM,0.019483,0.015,110.0087,47.61904,0.00196
Silver,GRU,0.019594,0.01513,118.5529,47.61904,-0.39
Silver,BiLSTM,0.019722,0.015158,103.58838,46.66664,-1.65496
Silver,Transformer,0.019417,0.014798,104.52208,50.4762,-0.80288
Copper,Random Walk,0.013351,0.010108,100.0,0.0,
Copper,ARIMA,0.013332,0.010075,98.29336,50.85716,0.18682
Copper,Decision Tree,0.013406,0.010127,98.76454,55.48874,0.46782
Copper,Random Forest,0.013474,0.010158,99.00838,46.71678,-0.99802
Copper,Gradient Boosting,0.013424,0.010149,106.79284,47.5689,0.57882
Copper,XGBoost,0.013525,0.010237,109.90388,46.5163,-0.486
Copper,SVR,0.013474,0.010292,137.17354,49.77442,0.28682
Copper,LSTM,0.013449,0.010148,122.8576,52.0476,-0.83826
Copper,GRU,0.013379,0.01017,120.05828,47.9524,-1.6873
Copper,BiLSTM,0.013475,0.01011,115.04314,50.0,-1.71696
Copper,Transformer,0.013441,0.010141,113.6838,48.23806,-0.94772
Platinum,Random Walk,0.016574,0.013536,100.0,0.0,
Platinum,ARIMA,0.016551,0.013545,100.30604,48.57144,0.43494
Platinum,Decision Tree,0.016629,0.013596,99.1286,49.85716,-0.56116
Platinum,Random Forest,0.016618,0.013613,99.04258,53.95238,1.6196
Platinum,Gradient Boosting,0.016706,0.013652,98.27474,46.2857,-1.74756
Platinum,XGBoost,0.016692,0.013655,100.88916,48.2857,-1.71614
Platinum,SVR,0.017061,0.013819,124.20044,52.80956,0.50912
Platinum,LSTM,0.016566,0.013686,105.39778,43.80948,0.29084
Platinum,GRU,0.016502,0.013507,105.2248,48.57142,0.54842
Platinum,BiLSTM,0.016635,0.013693,110.89896,46.66666,-0.1656
Platinum,Transformer,0.016556,0.013544,103.40992,49.52382,0.02144
